"No.","Time","Source","Destination","Protocol","Length","Info","...o"
"1906","28.623606091","192.168.171.128","142.251.42.226","UDP","1066","56260  >  443 Len=1022","28.623606091"
"1907","28.634242332","142.251.42.226","192.168.171.128","UDP","79","443  >  56260 Len=35","28.634242332"
"1908","28.655767289","192.168.171.128","142.251.42.226","UDP","77","56260  >  443 Len=33","28.655767289"
"1909","28.787487438","142.251.42.226","192.168.171.128","UDP","355","443  >  56260 Len=311","28.787487438"
"1910","28.787487615","142.251.42.226","192.168.171.128","UDP","90","443  >  56260 Len=46","28.787487615"
"1911","28.787902656","192.168.171.128","142.251.42.226","UDP","84","56260  >  443 Len=40","28.787902656"
"1912","28.799223270","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","28.799223270"
"1913","28.801218802","3.210.145.112","192.168.171.128","TLSv1.2","214","Application Data, Application Data","28.801218802"
"1914","28.801499446","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=16538 Ack=3556 Win=65535 Len=0","28.801499446"
"1915","28.803712076","192.168.171.128","3.210.145.112","TLSv1.2","441","Application Data","28.803712076"
"1916","28.804050008","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=3556 Ack=16923 Win=64240 Len=0","28.804050008"
"1917","28.809032379","192.168.171.128","3.210.145.112","TLSv1.2","443","Application Data","28.809032379"
"1918","28.809232456","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=3556 Ack=17310 Win=64240 Len=0","28.809232456"
"1919","28.813133103","192.168.171.128","172.217.160.98","UDP","251","52030  >  443 Len=207","28.813133103"
"1920","28.820993069","172.217.160.98","192.168.171.128","UDP","79","443  >  52030 Len=35","28.820993069"
"1921","28.829999819","192.168.171.128","172.217.160.66","UDP","249","42273  >  443 Len=205","28.829999819"
"1922","28.836976195","172.217.160.98","192.168.171.128","UDP","207","443  >  52030 Len=163","28.836976195"
"1923","28.836976447","172.217.160.98","192.168.171.128","UDP","308","443  >  52030 Len=264","28.836976447"
"1924","28.837346764","192.168.171.128","172.217.160.98","UDP","85","52030  >  443 Len=41","28.837346764"
"1925","28.839198244","172.217.160.66","192.168.171.128","UDP","79","443  >  42273 Len=35","28.839198244"
"1926","28.846941050","172.217.160.98","192.168.171.128","UDP","73","443  >  52030 Len=29","28.846941050"
"1927","28.846941267","172.217.160.66","192.168.171.128","UDP","208","443  >  42273 Len=164","28.846941267"
"1928","28.847266169","192.168.171.128","172.217.160.66","UDP","93","42273  >  443 Len=49","28.847266169"
"1929","28.847772470","172.217.160.66","192.168.171.128","UDP","309","443  >  42273 Len=265","28.847772470"
"1930","28.857321158","172.217.160.66","192.168.171.128","UDP","73","443  >  42273 Len=29","28.857321158"
"1931","28.868035101","192.168.171.128","172.217.160.66","UDP","78","42273  >  443 Len=34","28.868035101"
"1932","28.879553623","192.168.171.128","142.251.42.226","UDP","1067","56260  >  443 Len=1023","28.879553623"
"1933","28.888560717","142.251.42.226","192.168.171.128","UDP","79","443  >  56260 Len=35","28.888560717"
"1934","28.910423393","192.168.171.128","142.251.42.226","UDP","77","56260  >  443 Len=33","28.910423393"
"1935","28.920027722","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","28.920027722"
"1936","28.920213922","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","28.920213922"
"1937","29.003138814","3.210.145.112","192.168.171.128","TLSv1.2","135","Application Data","29.003138814"
"1938","29.046986157","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=17310 Ack=3635 Win=65535 Len=0","29.046986157"
"1939","29.073684759","142.251.42.226","192.168.171.128","UDP","246","443  >  56260 Len=202","29.073684759"
"1940","29.073684964","142.251.42.226","192.168.171.128","UDP","197","443  >  56260 Len=153","29.073684964"
"1941","29.074049446","192.168.171.128","142.251.42.226","UDP","86","56260  >  443 Len=42","29.074049446"
"1942","29.085694191","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","29.085694191"
"1943","29.087406429","192.168.171.128","3.210.145.112","TLSv1.2","444","Application Data","29.087406429"
"1944","29.087654015","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=3635 Ack=17698 Win=64240 Len=0","29.087654015"
"1945","29.092007735","192.168.171.128","3.210.145.112","TLSv1.2","445","Application Data","29.092007735"
"1946","29.092204581","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=3635 Ack=18087 Win=64240 Len=0","29.092204581"
"1947","29.096734160","192.168.171.128","172.217.160.98","UDP","251","52030  >  443 Len=207","29.096734160"
"1948","29.104547098","192.168.171.128","172.217.160.66","UDP","249","42273  >  443 Len=205","29.104547098"
"1949","29.107822544","172.217.160.98","192.168.171.128","UDP","79","443  >  52030 Len=35","29.107822544"
"1950","29.114020085","172.217.160.66","192.168.171.128","UDP","79","443  >  42273 Len=35","29.114020085"
"1951","29.114020321","172.217.160.98","192.168.171.128","UDP","249","443  >  52030 Len=205","29.114020321"
"1952","29.114281538","192.168.171.128","172.217.160.98","UDP","85","52030  >  443 Len=41","29.114281538"
"1953","29.118272831","172.217.160.66","192.168.171.128","UDP","208","443  >  42273 Len=164","29.118272831"
"1954","29.118273368","172.217.160.66","192.168.171.128","UDP","93","443  >  42273 Len=49","29.118273368"
"1955","29.118492579","192.168.171.128","172.217.160.66","UDP","85","42273  >  443 Len=41","29.118492579"
"1956","29.125728549","172.217.160.98","192.168.171.128","UDP","73","443  >  52030 Len=29","29.125728549"
